Не	не=PRCL	не=PRCL
столь	столь=ADVB
по	по=PREP
осложнениям	осложнение=NOUN,inan,neut,plur,datv

•	•=UNKN
Диабетическая	диабетический=ADJF,femn,sing,nomn
нейропатия	нейропатия=UNKN
.	.=PNCT

•	•=UNKN
Диабетическая	диабетический=ADJF,femn,sing,nomn
ретинопатия	ретинопатия=UNKN
.	.=PNCT

•	•=UNKN
Диабетическая	диабетический=ADJF,femn,sing,nomn
нефропатия	нефропатия=UNKN
.	.=PNCT

•	•=UNKN
Диабетическая	диабетический=ADJF,femn,sing,nomn
стопа	стопа=NOUN,inan,femn,sing,nomn
.	.=PNCT

Формулировка	формулировка=NOUN,inan,femn,sing,nomn
диагноза	диагноз=NOUN,inan,masc,sing,gent

.	.=PNCT
0	0=UNKN
С	с=PREP
комой	кома=NOUN,inan,femn,sing,ablt

.	.=PNCT
1	1=UNKN
С	с=PREP
кетоацидозом	кетоацидозом=UNKN

.	.=PNCT
2	2=UNKN
С	с=PREP
поражением	поражение=NOUN,inan,neut,sing,ablt
почек	почка=NOUN,inan,femn,plur,gent

.	.=PNCT
4	4=UNKN
С	с=PREP
неврологическими	неврологический=ADJF,plur,ablt
осложнениями	осложнение=NOUN,inan,neut,plur,ablt

.	.=PNCT
6	6=UNKN
С	с=PREP
другими	другой=ADJF,Apro,plur,ablt
уточнёнными	уточнённый=PRTF,perf,tran,past,pssv,plur,ablt
осложнениями	осложнение=NOUN,inan,neut,plur,ablt

.	.=PNCT
7	7=UNKN
С	с=PREP
множественными	множественный=ADJF,plur,ablt
осложнениями	осложнение=NOUN,inan,neut,plur,ablt

.	.=PNCT
8	8=UNKN
С	с=PREP
неуточнёнными	неуточненный=ADJF,plur,ablt
осложнениями	осложнение=NOUN,inan,neut,plur,ablt

.	.=PNCT
9	9=UNKN
Без	без=PREP
осложнений	осложнение=NOUN,inan,neut,plur,gent

Этиология	этиология=NOUN,inan,femn,sing,nomn

•	•=UNKN
Глюкозурия	глюкозурия=UNKN

•	•=UNKN
Гипергликемия	гипергликемия=NOUN,inan,femn,sing,nomn

MODY-диабет	MODY-диабет=UNKN

Диетотерапия	диетотерапия=NOUN,inan,femn,sing,nomn

1	1=UNKN
.	.=PNCT
диметилбигуаниды	диметилбигуаниды=UNKN
(	(=PNCT
метформин	метформин=UNKN
)	)=PNCT

2	2=UNKN
.	.=PNCT
бутилбигуаниды	бутилбигуаниды=UNKN
(	(=PNCT
адебит	адебит=UNKN
,	,=PNCT
силубин	силубин=UNKN
)	)=PNCT

Инсулинотерапия	инсулинотерапия=UNKN

•	•=UNKN
Диабетическая	диабетический=ADJF,femn,sing,nomn
нефропатия	нефропатия=UNKN
.	.=PNCT

Немедикаментозная	немедикаментозный=ADJF,femn,sing,nomn
терапия	терапия=NOUN,inan,femn,sing,nomn

Медикаментозная	медикаментозный=ADJF,femn,sing,nomn
терапия	терапия=NOUN,inan,femn,sing,nomn

Профилактика	профилактика=NOUN,inan,femn,sing,nomn
осложнений	осложнение=NOUN,inan,neut,plur,gent

Литература	литература=NOUN,inan,femn,sing,nomn

•	•=UNKN
Книга	книга=NOUN,inan,femn,sing,nomn
"	"=PNCT
Diabetes	Diabetes=UNKN
"	"=PNCT
Автор	автор=NOUN,anim,masc,sing,nomn
:	:=PNCT
John	John=UNKN
A	A=UNKN
.	.=PNCT
Colwell	Colwell=UNKN

Христос	христос=NOUN,anim,masc,Sgtm,sing,nomn
Воскресе	воскресе=UNKN
!	!=PNCT

-	-=PNCT
Ой	ой=INTJ
,	,=PNCT
-	-=PNCT

сказала	сказал=VERB,perf,tran,femn,sing,past,indc
я	я=NPRO,1per,sing,nomn
.	.=PNCT
-	-=PNCT

Брр	брр=INTJ
,	,=PNCT

-	-=PNCT
сказала	сказал=VERB,perf,tran,femn,sing,past,indc
я	я=NPRO,1per,sing,nomn
.	.=PNCT
-	-=PNCT

It's	It's=UNKN
cold	cold=UNKN
!	!=PNCT
-	-=PNCT

-	-=PNCT
No	No=UNKN
,	,=PNCT
it's	it's=UNKN
not	not=UNKN
,	,=PNCT
-	-=PNCT

Карма	карма=NOUN,inan,femn,sing,nomn

Криминальная	криминальный=ADJF,Qual,femn,sing,nomn
антропология	антропология=NOUN,inan,femn,sing,nomn

Клиническая	клинический=ADJF,femn,sing,nomn
криминология	криминология=NOUN,inan,femn,sing,nomn

Теория	теория=NOUN,inan,femn,sing,nomn
конфликта	конфликт=NOUN,inan,masc,sing,gent
культур	культура=NOUN,inan,femn,plur,gent

Социально-демографическая	социально-демографический=ADJF,femn,sing,nomn
характеристика	характеристика=NOUN,inan,femn,sing,nomn

Социально-ролевая	социально-ролевая=UNKN
характеристика	характеристика=NOUN,inan,femn,sing,nomn

Нравственно-психологическая	нравственно-психологическая=UNKN
характеристика	характеристика=NOUN,inan,femn,sing,nomn

Литература	литература=NOUN,inan,femn,sing,nomn

Веб-сайты	веб-сайты=UNKN

•	•=UNKN
Greek	Greek=UNKN
C	C=UNKN
.	.=PNCT
CCJ	CCJ=UNKN
5606	5606=UNKN
—	—=UNKN
Criminological	Criminological=UNKN
Theory	Theory=UNKN
.	.=PNCT
Lecture	Lecture=UNKN
Notes	Notes=UNKN
//	//=PNCT
Florida	Florida=UNKN
State	State=UNKN
University	University=UNKN
.	.=PNCT

Спорная	спорный=ADJF,Qual,femn,sing,nomn
реклама	реклама=NOUN,inan,femn,sing,nomn

News	News=UNKN
Outdoor	Outdoor=UNKN
судится	сужусь=VERB,impf,intr,sing,3per,pres,indc
с	с=PREP
властями	власть=NOUN,inan,femn,plur,ablt
Москвы	москва=NOUN,inan,femn,Sgtm,Geox,sing,gent
.	.=PNCT

Разработкой	разработка=NOUN,inan,femn,sing,ablt
проекта	проект=NOUN,inan,masc,sing,gent
будет	есть=VERB,impf,intr,sing,3per,futr,indc
заниматься	заниматься=INFN,impf,intr
компания	компания=NOUN,inan,femn,sing,nomn
Uravo	Uravo=UNKN
.	.=PNCT

Л	л=UNKN
.	.=PNCT
Ш	ш=UNKN
.	.=PNCT
:	:=PNCT

Л	л=UNKN
.	.=PNCT
Ш	ш=UNKN
.	.=PNCT
:	:=PNCT

Л	л=UNKN
.	.=PNCT
Ш	ш=UNKN
.	.=PNCT
:	:=PNCT

Л	л=UNKN
.	.=PNCT
Ш	ш=UNKN
.	.=PNCT
:	:=PNCT

рассказала	рассказал=VERB,perf,tran,femn,sing,past,indc
Бутир	бутир=UNKN
.	.=PNCT

«	«=UNKN
Анатомия	анатомия=NOUN,inan,femn,sing,nomn
Лир	лира=NOUN,inan,femn,plur,gent
»	»=UNKN

Этимология	этимология=NOUN,inan,femn,sing,nomn

История	история=NOUN,inan,femn,sing,nomn

Цензура	цензура=NOUN,inan,femn,sing,nomn

Классификация	классификация=NOUN,inan,femn,sing,nomn

Тентакли	тентакли=UNKN

Футанари	футанари=UNKN

Эрогуро	эрогуро=UNKN

Индустрия	индустрия=NOUN,inan,femn,sing,nomn

Аниме	аниме=UNKN

Манга	манга=UNKN

Додзинси	додзинси=UNKN

Она	она=NPRO,femn,3per,sing,nomn
также	также=CONJ
пишет	пишу=VERB,impf,tran,sing,3per,pres,indc
:	:=PNCT

Литература	литература=NOUN,inan,femn,sing,nomn

•	•=UNKN
Allison	Allison=UNKN
,	,=PNCT
Anne	Anne=UNKN
.	.=PNCT
Permitted	Permitted=UNKN
and	and=UNKN
Prohibited	Prohibited=UNKN
Desires	Desires=UNKN
:	:=PNCT
Mothers	Mothers=UNKN
,	,=PNCT
Comics	Comics=UNKN
,	,=PNCT
and	and=UNKN
Censorship	Censorship=UNKN
in	in=UNKN
Japan	Japan=UNKN
—	—=UNKN
University	University=UNKN
of	of=UNKN
California	California=UNKN
Press	Press=UNKN
,	,=PNCT
2000	2000=UNKN
.	.=PNCT
—	—=UNKN
251	251=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0520219902	0520219902=UNKN
.	.=PNCT

•	•=UNKN
Brenner	Brenner=UNKN
,	,=PNCT
Robin	Robin=UNKN
E	E=UNKN
.	.=PNCT
Understanding	Understanding=UNKN
Manga	Manga=UNKN
and	and=UNKN
Anime	Anime=UNKN
—	—=UNKN
Libraries	Libraries=UNKN
Unlimited	Unlimited=UNKN
,	,=PNCT
2007	2007=UNKN
.	.=PNCT
—	—=UNKN
357	357=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
9781591583325	9781591583325=UNKN
.	.=PNCT

•	•=UNKN
Buckley	Buckley=UNKN
,	,=PNCT
S	S=UNKN
.	.=PNCT
Penguin	Penguin=UNKN
in	in=UNKN
bondage	bondage=UNKN
:	:=PNCT
A	A=UNKN
graphic	graphic=UNKN
tale	tale=UNKN
of	of=UNKN
Japanese	Japanese=UNKN
comic	comic=UNKN
books	books=UNKN
//	//=PNCT
Penley	Penley=UNKN
Constance	Constance=UNKN
.	.=PNCT
Technoculture	Technoculture=UNKN
.	.=PNCT
—	—=UNKN
Minneapolis	Minneapolis=UNKN
:	:=PNCT
University	University=UNKN
of	of=UNKN
Minnesota	Minnesota=UNKN
Press	Press=UNKN
,	,=PNCT
1991	1991=UNKN
.	.=PNCT
—	—=UNKN
P	P=UNKN
.	.=PNCT
163	163=UNKN
–	–=UNKN
195	195=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
9780816619306	9780816619306=UNKN
.	.=PNCT

•	•=UNKN
Drazen	Drazen=UNKN
,	,=PNCT
Patrick	Patrick=UNKN
.	.=PNCT
Anime	Anime=UNKN
Explosion	Explosion=UNKN
!	!=PNCT
The	The=UNKN
What	What=UNKN
?	?=PNCT
Why	Why=UNKN
?	?=PNCT
&	&=UNKN
Wow	Wow=UNKN
!	!=PNCT
Of	Of=UNKN
Japanese	Japanese=UNKN
Animation	Animation=UNKN
—	—=UNKN
Stone	Stone=UNKN
Bridge	Bridge=UNKN
Press	Press=UNKN
,	,=PNCT
2002	2002=UNKN
.	.=PNCT
—	—=UNKN
369	369=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-1-8806-5672-3	978-1-8806-5672-3=UNKN
.	.=PNCT

•	•=UNKN
Gravett	Gravett=UNKN
,	,=PNCT
Paul	Paul=UNKN
.	.=PNCT
Manga	Manga=UNKN
:	:=PNCT
60	60=UNKN
Years	Years=UNKN
of	of=UNKN
Japanese	Japanese=UNKN
Comics	Comics=UNKN
—	—=UNKN
Collins	Collins=UNKN
Design	Design=UNKN
,	,=PNCT
2004	2004=UNKN
.	.=PNCT
—	—=UNKN
176	176=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
1856693910	1856693910=UNKN
.	.=PNCT

•	•=UNKN
Kelts	Kelts=UNKN
,	,=PNCT
Roland	Roland=UNKN
.	.=PNCT
Japanamerica	Japanamerica=UNKN
:	:=PNCT
How	How=UNKN
Japanese	Japanese=UNKN
Pop	Pop=UNKN
Culture	Culture=UNKN
Has	Has=UNKN
Invaded	Invaded=UNKN
the	the=UNKN
U	U=UNKN
.	.=PNCT
S	S=UNKN
—	—=UNKN
Palgrave	Palgrave=UNKN
Macmillan	Macmillan=UNKN
,	,=PNCT
2006	2006=UNKN
.	.=PNCT
—	—=UNKN
242	242=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-1403974754	978-1403974754=UNKN
.	.=PNCT

•	•=UNKN
Kelts	Kelts=UNKN
,	,=PNCT
Roland	Roland=UNKN
.	.=PNCT
Queer	Queer=UNKN
Japan	Japan=UNKN
from	from=UNKN
the	the=UNKN
Pacific	Pacific=UNKN
War	War=UNKN
to	to=UNKN
the	the=UNKN
Internet	Internet=UNKN
Age	Age=UNKN
—	—=UNKN
Rowman	Rowman=UNKN
&	&=UNKN
Littlefield	Littlefield=UNKN
Publishers	Publishers=UNKN
,	,=PNCT
2005	2005=UNKN
.	.=PNCT
—	—=UNKN
256	256=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-0742537873	978-0742537873=UNKN
.	.=PNCT

•	•=UNKN
McLelland	McLelland=UNKN
,	,=PNCT
Mark	Mark=UNKN
.	.=PNCT
Male	Male=UNKN
Homosexuality	Homosexuality=UNKN
in	in=UNKN
Modern	Modern=UNKN
Japan	Japan=UNKN
:	:=PNCT
Cultural	Cultural=UNKN
Myths	Myths=UNKN
and	and=UNKN
Social	Social=UNKN
Realities	Realities=UNKN
—	—=UNKN
RoutledgeCurzon	RoutledgeCurzon=UNKN
,	,=PNCT
2000	2000=UNKN
.	.=PNCT
—	—=UNKN
268	268=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0700714251	0700714251=UNKN
.	.=PNCT

•	•=UNKN
Napier	Napier=UNKN
,	,=PNCT
Susan	Susan=UNKN
J	J=UNKN
.	.=PNCT
Anime	Anime=UNKN
from	from=UNKN
Akira	Akira=UNKN
to	to=UNKN
Princess	Princess=UNKN
Mononoke	Mononoke=UNKN
:	:=PNCT
Experiencing	Experiencing=UNKN
Contemporary	Contemporary=UNKN
Japanese	Japanese=UNKN
Animation	Animation=UNKN
—	—=UNKN
Palgrave	Palgrave=UNKN
Macmillan	Macmillan=UNKN
,	,=PNCT
2001	2001=UNKN
.	.=PNCT
—	—=UNKN
311	311=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0-312-23863-0	0-312-23863-0=UNKN
.	.=PNCT

•	•=UNKN
Poitras	Poitras=UNKN
,	,=PNCT
Gilles	Gilles=UNKN
.	.=PNCT
Anime	Anime=UNKN
Essentials	Essentials=UNKN
:	:=PNCT
Every	Every=UNKN
Thing	Thing=UNKN
a	a=UNKN
Fan	Fan=UNKN
Needs	Needs=UNKN
to	to=UNKN
Know	Know=UNKN
—	—=UNKN
Stone	Stone=UNKN
Bridge	Bridge=UNKN
Press	Press=UNKN
,	,=PNCT
2004	2004=UNKN
.	.=PNCT
—	—=UNKN
144	144=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-1880656532	978-1880656532=UNKN
.	.=PNCT

•	•=UNKN
Thompson	Thompson=UNKN
,	,=PNCT
Jason	Jason=UNKN
.	.=PNCT
Manga	Manga=UNKN
:	:=PNCT
The	The=UNKN
Complete	Complete=UNKN
Guide	Guide=UNKN
—	—=UNKN
Del	Del=UNKN
Rey	Rey=UNKN
,	,=PNCT
2007	2007=UNKN
.	.=PNCT
—	—=UNKN
592	592=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-0345485908	978-0345485908=UNKN
.	.=PNCT

•	•=UNKN
Frederik	Frederik=UNKN
L	L=UNKN
.	.=PNCT
Schodt	Schodt=UNKN
.	.=PNCT
Dreamland	Dreamland=UNKN
Japan	Japan=UNKN
:	:=PNCT
Writings	Writings=UNKN
on	on=UNKN
Modern	Modern=UNKN
Manga	Manga=UNKN
—	—=UNKN
Berkeley	Berkeley=UNKN
,	,=PNCT
CA	CA=UNKN
:	:=PNCT
Stone	Stone=UNKN
Bridge	Bridge=UNKN
Press	Press=UNKN
,	,=PNCT
LLC	LLC=UNKN
,	,=PNCT
1996	1996=UNKN
.	.=PNCT
—	—=UNKN
360	360=UNKN
p	p=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
978-1-880656-23-5	978-1-880656-23-5=UNKN
.	.=PNCT

—	—=UNKN
отмечается	отмечаюсь=VERB,impf,intr,sing,3per,pres,indc
в	в=PREP
докладе	доклад=NOUN,inan,masc,sing,loct
Еврокомиссии	еврокомиссии=UNKN
.	.=PNCT

http://photo.sbor.net/photopost/showphoto.php?photo=5485&cat=505	http://photo.sbor.net/photopost/showphoto.php?photo=5485&cat=505=UNKN

http://photo.sbor.net/photopost/showphoto.php?photo=5885&cat=505	http://photo.sbor.net/photopost/showphoto.php?photo=5885&cat=505=UNKN

Купил	купил=VERB,perf,tran,masc,sing,past,indc
сегодня	сегодня=ADVB
"	"=PNCT
Once	Once=UNKN
"	"=PNCT
.	.=PNCT

Остаюсь	остаюсь=VERB,impf,intr,sing,1per,pres,indc
на	на=PREP
Perl-e	Perl-e=UNKN
.	.=PNCT

Upd	Upd=UNKN
:	:=PNCT
дочитал	дочитал=VERB,perf,tran,masc,sing,past,indc
до	до=PREP
конца	конец=NOUN,inan,masc,sing,gent
.	.=PNCT

Остаюсь	остаюсь=VERB,impf,intr,sing,1per,pres,indc
на	на=PREP
Perl-е	Perl-е=UNKN
.	.=PNCT

История	история=NOUN,inan,femn,sing,nomn

A	A=UNKN
=	==UNKN
p	p=UNKN
×	×=UNKN
L	L=UNKN
-	-=PNCT
mkr	mkr=UNKN
,	,=PNCT

где	где=ADVB,Ques

E	E=UNKN
=	==UNKN
p	p=UNKN
^	^=UNKN
2	2=UNKN
/	/=PNCT
2m	2m=UNKN
-	-=PNCT
k	k=UNKN
/	/=PNCT
r	r=UNKN
=	==UNKN
1	1=UNKN
/	/=PNCT
2	2=UNKN
mv	mv=UNKN
^	^=UNKN
2	2=UNKN
-	-=PNCT
k	k=UNKN
/	/=PNCT
r	r=UNKN
.	.=PNCT

L²p	L²p=UNKN
=	==UNKN
L	L=UNKN
×	×=UNKN
A	A=UNKN
-	-=PNCT
mkr	mkr=UNKN
×	×=UNKN
L	L=UNKN
.	.=PNCT

p_x²	p_x²=UNKN
+(	+(=UNKN
py	py=UNKN
-	-=PNCT
A	A=UNKN
/	/=PNCT
L	L=UNKN
)	)=PNCT
²=(	²=(=UNKN
mk	mk=UNKN
/	/=PNCT
L	L=UNKN
)	)=PNCT
²	²=UNKN
.	.=PNCT

ξ	ξ=UNKN
=	==UNKN
r	r=UNKN
+	+=UNKN
x	x=UNKN
,	,=PNCT

η	η=UNKN
=	==UNKN
r	r=UNKN
−	−=UNKN
x	x=UNKN
,	,=PNCT

r	r=UNKN
=	==UNKN
x²	x²=UNKN
+	+=UNKN
y²	y²=UNKN
.	.=PNCT

x	x=UNKN
=	==UNKN
½	½=UNKN
(	(=PNCT
ξ	ξ=UNKN
-η	-η=UNKN
)	)=PNCT
,	,=PNCT

y	y=UNKN
=	==UNKN
ξη	ξη=UNKN
.	.=PNCT

2ξ	2ξ=UNKN
pξ²	pξ²=UNKN
-	-=PNCT
mk	mk=UNKN
-	-=PNCT
mEξ	mEξ=UNKN
=	==UNKN
-	-=PNCT
β	β=UNKN
,	,=PNCT

2η	2η=UNKN
pη²	pη²=UNKN
-	-=PNCT
mk	mk=UNKN
-	-=PNCT
mEη	mEη=UNKN
=	==UNKN
β	β=UNKN
,	,=PNCT

β	β=UNKN
=	==UNKN
py	py=UNKN
(	(=PNCT
xpy	xpy=UNKN
-	-=PNCT
ypₓ	ypₓ=UNKN
)	)=PNCT
-	-=PNCT
mkx	mkx=UNKN
/	/=PNCT
r	r=UNKN
=	==UNKN
Aₓ	Aₓ=UNKN
.	.=PNCT

A	A=UNKN
=	==UNKN
A	A=UNKN
+	+=UNKN
mq	mq=UNKN
/	/=PNCT
2	2=UNKN
[	[=PNCT
(	(=PNCT
r	r=UNKN
×	×=UNKN
E	E=UNKN
)	)=PNCT
×	×=UNKN
r	r=UNKN
]	]=PNCT
,	,=PNCT

Админу	админ=NOUN,anim,masc,Slng,sing,datv
на	на=PREP
заметку	заметка=NOUN,inan,femn,sing,accs

Посмотрел	посмотрел=VERB,perf,tran,masc,sing,past,indc
,	,=PNCT
призадумался	призадумался=VERB,perf,intr,masc,sing,past,indc
...	...=PNCT

21cent	21cent=UNKN

Бессмертная	бессмертный=ADJF,femn,sing,nomn
медуза	медуза=NOUN,anim,femn,sing,nomn

Не	не=PRCL
пересидели	пересидел=VERB,perf,tran,plur,past,indc

Первую	первый=ADJF,Anum,femn,sing,accs
такую	такой=ADJF,Apro,femn,sing,accs
инспекцию	инспекция=NOUN,inan,femn,sing,accs
столичный	столичный=ADJF,Qual,masc,sing,nomn
градоначальник	градоначальник=NOUN,anim,masc,sing,nomn
провёл	провёл=VERB,perf,tran,masc,sing,past,indc
в	в=PREP
субботу	суббота=NOUN,inan,femn,sing,accs
,	,=PNCT
30	30=UNKN
октября	октябрь=NOUN,inan,masc,sing,gent
.	.=PNCT

Чавес	чавес=UNKN
хочет	хочу=VERB,impf,tran,sing,3per,pres,indc
повоевать	повоевать=INFN,perf,intr

Комната	комната=NOUN,inan,femn,sing,nomn
просматривается	просматриваюсь=VERB,impf,intr,sing,3per,pres,indc
видеокамерами	видеокамера=NOUN,inan,femn,plur,ablt
.	.=PNCT

Выпущена	выпущен=PRTS,perf,past,pssv,femn,sing
первая	первый=ADJF,Anum,femn,sing,nomn
русскоязычная	русскоязычный=ADJF,femn,sing,nomn
практическая	практический=ADJF,femn,sing,nomn
книга	книга=NOUN,inan,femn,sing,nomn
про	про=PREP
«	«=UNKN
Твиттер	твиттер=UNKN
»	»=UNKN
.	.=PNCT

Рано	рано=ADVB,Prdx
успокоились	успокоился=VERB,perf,intr,plur,past,indc

Руками	рука=NOUN,inan,femn,plur,ablt
.	.=PNCT

«	«=UNKN
Я	я=NPRO,1per,sing,nomn
подумал	подумал=VERB,perf,intr,masc,sing,past,indc
,	,=PNCT
кто-то	кто-то=NPRO,masc,sing,nomn
купил	купил=VERB,perf,tran,masc,sing,past,indc
Европу	европа=NOUN,inan,femn,Sgtm,Geox,sing,accs
на	на=PREP
мою	мой=ADJF,Apro,femn,sing,accs
кредитную	кредитный=ADJF,Qual,femn,sing,accs
карточку	карточка=NOUN,inan,femn,sing,accs
»	»=UNKN
,	,=PNCT

-	-=PNCT
рассказывал	рассказываю=VERB,impf,tran,masc,sing,past,indc
Джош	джош=UNKN
журналистам	журналист=NOUN,anim,masc,plur,datv
.	.=PNCT

В	в=PREP
1914	1914=UNKN
году	год=NOUN,inan,masc,sing,loc2
Российская	российский=ADJF,femn,sing,nomn
империя	империя=NOUN,inan,femn,sing,nomn
вступила	вступил=VERB,perf,intr,femn,sing,past,indc
в	в=PREP
Первую	первый=ADJF,Anum,femn,sing,accs
мировую	мировой=ADJF,femn,sing,accs
войну	война=NOUN,inan,femn,sing,accs
.	.=PNCT

Нумерация	нумерация=NOUN,inan,femn,sing,nomn
паровозов	паровоз=NOUN,inan,masc,plur,gent
завода	завод=NOUN,inan,masc,sing,gent
ALCO	ALCO=UNKN
начиналась	начинаюсь=VERB,impf,intr,femn,sing,past,indc
с	с=PREP
№	№=UNKN
2001	2001=UNKN
,	,=PNCT
а	а=CONJ
завода	завод=NOUN,inan,masc,sing,gent
Baldwin	Baldwin=UNKN
—	—=UNKN
с	с=PREP
№	№=UNKN
2201	2201=UNKN
.	.=PNCT

Конструкция	конструкция=NOUN,inan,femn,sing,nomn

Эксплуатация	эксплуатация=NOUN,inan,femn,sing,nomn

Финляндия	финляндия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Например	например=CONJ,Prnt
:	:=PNCT

В	в=PREP
музеях	музей=NOUN,inan,masc,plur,loct

•	•=UNKN
Еа−2325	Еа−2325=UNKN
—	—=UNKN
станция	станция=NOUN,inan,femn,sing,nomn
Бишкек-1	Бишкек-1=UNKN
(	(=PNCT
Киргизия	киргизия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT
.	.=PNCT

•	•=UNKN
Еа−2885	Еа−2885=UNKN
—	—=UNKN
станция	станция=NOUN,inan,femn,sing,nomn
Комсомольск-Сортировочный	комсомольск-сортировочный=UNKN
.	.=PNCT

Литература	литература=NOUN,inan,femn,sing,nomn

•	•=UNKN
Tourret	Tourret=UNKN
,	,=PNCT
R	R=UNKN
.	.=PNCT
United	United=UNKN
States	States=UNKN
Army	Army=UNKN
transportation	transportation=UNKN
Corps	Corps=UNKN
Locomotive	Locomotive=UNKN
—	—=UNKN
Tourret	Tourret=UNKN
Publishing	Publishing=UNKN
,	,=PNCT
1977	1977=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
9780905878010	9780905878010=UNKN
.	.=PNCT

•	•=UNKN
Sucmen	Sucmen=UNKN
Veturit	Veturit=UNKN
.	.=PNCT
Valticnrautateichen	Valticnrautateichen=UNKN
hoyryerturit	hoyryerturit=UNKN
—	—=UNKN
Malmö	Malmö=UNKN
,	,=PNCT
1975	1975=UNKN
Т	т=UNKN
.	.=PNCT
1	1=UNKN
.	.=PNCT

Продаётся	продаюсь=VERB,impf,intr,sing,3per,pres,indc
корпорация	корпорация=NOUN,inan,femn,sing,nomn
Palm	Palm=UNKN

Надеясь	надеясь=GRND,impf,intr,pres
вернуться	вернуться=INFN,perf,intr
в	в=PREP
Мариинку	мариинку=UNKN
,	,=PNCT
Вазиев	вазиев=UNKN
тянул	тяну=VERB,impf,tran,masc,sing,past,indc
с	с=PREP
решением	решение=NOUN,inan,neut,sing,ablt
более	более=ADVB
четырех	четыре=NUMR,gent
месяцев	месяц=NOUN,inan,masc,plur,gent
.	.=PNCT

Наблюдаемая	наблюдаемый=PRTF,impf,tran,pres,pssv,femn,sing,nomn
эволюция	эволюция=NOUN,inan,femn,sing,nomn

Яблонная	яблонный=ADJF,Qual,femn,sing,nomn
муха	муха=NOUN,anim,femn,sing,nomn

Дарвиновы	дарвиновы=UNKN
вьюрки	вьюрок=NOUN,anim,masc,plur,nomn

Литература	литература=NOUN,inan,femn,sing,nomn

•	•=UNKN
Smith	Smith=UNKN
,	,=PNCT
J	J=UNKN
.	.=PNCT
M	M=UNKN
.	.=PNCT
The	The=UNKN
Theory	Theory=UNKN
of	of=UNKN
Evolution	Evolution=UNKN
—	—=UNKN
Cambridge	Cambridge=UNKN
University	University=UNKN
Press	Press=UNKN
,	,=PNCT
1993	1993=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0521451280	0521451280=UNKN
.	.=PNCT

•	•=UNKN
Douglas	Douglas=UNKN
J	J=UNKN
.	.=PNCT
Futuyma	Futuyma=UNKN
.	.=PNCT
Evolutionary	Evolutionary=UNKN
Biology	Biology=UNKN
—	—=UNKN
3-е	3-е=UNKN
изд	изд=UNKN
.	.=PNCT
—	—=UNKN
Sunderland	Sunderland=UNKN
,	,=PNCT
Massachusetts	Massachusetts=UNKN
:	:=PNCT
Sinauer	Sinauer=UNKN
Associates	Associates=UNKN
,	,=PNCT
1998	1998=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0-87893-189-9	0-87893-189-9=UNKN
.	.=PNCT

•	•=UNKN
Jerry	Jerry=UNKN
Coyne	Coyne=UNKN
.	.=PNCT
Why	Why=UNKN
Evolution	Evolution=UNKN
is	is=UNKN
True	True=UNKN
—	—=UNKN
Viking	Viking=UNKN
Adult	Adult=UNKN
,	,=PNCT
2009	2009=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0670020532	0670020532=UNKN
.	.=PNCT

•	•=UNKN
Ричард	ричард=NOUN,anim,masc,Name,sing,nomn
Докинз	докинз=UNKN
.	.=PNCT
The	The=UNKN
Greatest	Greatest=UNKN
Show	Show=UNKN
On	On=UNKN
Earth	Earth=UNKN
—	—=UNKN
2009	2009=UNKN
.	.=PNCT
—	—=UNKN
ISBN	ISBN=UNKN
0-593-06173-X	0-593-06173-X=UNKN
.	.=PNCT

Я	я=NPRO,1per,sing,nomn
говорю	говорю=VERB,impf,tran,sing,1per,pres,indc
:	:=PNCT

—	—=UNKN
